ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,解除隔離數,解封指數
25079,CHN,亞洲,中國大陸,2020/1/22,548,0,0,17,0,0,0.379,0.012,0,0,0,0,0,0,0,0,0,0,0,0,26.39,28,19
25080,CHN,亞洲,中國大陸,2020/1/23,641,93,0,18,1,0,0.444,0.012,3.07,0,0,0,0,0,0,0,0,0,0,0,44.91,30,21
25081,CHN,亞洲,中國大陸,2020/1/24,918,277,0,26,8,0,0.636,0.018,3.22,0,0,0,0,0,0,0,0,0,0,0,44.91,36,25
25082,CHN,亞洲,中國大陸,2020/1/25,1401,483,0,42,16,0,0.97,0.029,3.36,0,0,0,0,0,0,0,0,0,0,0,47.69,39,36
25083,CHN,亞洲,中國大陸,2020/1/26,2067,666,0,56,14,0,1.431,0.039,3.42,0,0,0,0,0,0,0,0,0,0,0,69.91,49,42
25084,CHN,亞洲,中國大陸,2020/1/27,2869,802,0,82,26,0,1.987,0.057,3.45,0,0,0,0,0,0,0,0,0,0,0,69.91,58,50
25085,CHN,亞洲,中國大陸,2020/1/28,5501,2632,707.571,131,49,16.286,3.809,0.091,3.45,0,0,0,0,0,0,0,0,0,0,0,69.91,101,55
25086,CHN,亞洲,中國大陸,2020/1/29,6077,576,789.857,133,2,16.571,4.208,0.092,3.16,0,0,0,0,0,0,0,0,0,0,0,69.91,120,51
25087,CHN,亞洲,中國大陸,2020/1/30,8131,2054,1070,171,38,21.857,5.63,0.118,2.97,0,0,0,0,0,0,0,0,0,0,0,69.91,135,61
25088,CHN,亞洲,中國大陸,2020/1/31,9790,1659,1267.429,213,42,26.714,6.779,0.147,2.78,0,0,0,0,0,0,0,0,0,0,0,69.91,214,46
25089,CHN,亞洲,中國大陸,2020/2/1,11878,2088,1496.714,259,46,31,8.225,0.179,2.65,0,0,0,0,0,0,0,0,0,0,0,77.31,275,43
25090,CHN,亞洲,中國大陸,2020/2/2,16615,4737,2078.286,361,102,43.571,11.505,0.25,2.55,0,0,0,0,0,0,0,0,0,0,0,77.31,463,36
25091,CHN,亞洲,中國大陸,2020/2/3,19701,3086,2404.571,425,64,49,13.641,0.294,2.35,0,0,0,0,0,0,0,0,0,0,0,77.31,614,32
25092,CHN,亞洲,中國大陸,2020/2/4,23690,3989,2598.429,490,65,51.286,16.403,0.339,2.15,0,0,0,0,0,0,0,0,0,0,0,77.31,843,28
25093,CHN,亞洲,中國大陸,2020/2/5,27419,3729,3048.857,562,72,61.286,18.985,0.389,2,0,0,0,0,0,0,0,0,0,0,0,77.31,1115,24
25094,CHN,亞洲,中國大陸,2020/2/6,30563,3144,3204.571,632,70,65.857,21.162,0.438,1.81,0,0,0,0,0,0,0,0,0,0,0,77.31,1477,20
25095,CHN,亞洲,中國大陸,2020/2/7,34085,3522,3470.714,717,85,72,23.601,0.496,1.68,0,0,0,0,0,0,0,0,0,0,0,77.31,1999,16
25096,CHN,亞洲,中國大陸,2020/2/8,36788,2703,3558.571,804,87,77.857,25.473,0.557,1.57,0,0,0,0,0,0,0,0,0,0,0,77.31,2596,13
25097,CHN,亞洲,中國大陸,2020/2/9,39800,3012,3312.143,904,100,77.571,27.558,0.626,1.5,0,0,0,0,0,0,0,0,0,0,0,77.31,3219,12
25098,CHN,亞洲,中國大陸,2020/2/10,42316,2516,3230.714,1011,107,83.714,29.3,0.7,1.46,0,0,0,0,0,0,0,0,0,0,0,75.46,3918,10
25099,CHN,亞洲,中國大陸,2020/2/11,44337,2021,2949.571,1111,100,88.714,30.7,0.769,1.45,0,0,0,0,0,0,0,0,0,0,0,75.46,4636,9
25100,CHN,亞洲,中國大陸,2020/2/12,44709,372,2470,1116,5,79.143,30.957,0.773,1.52,0,0,0,0,0,0,0,0,0,0,0,75.46,5081,8
25101,CHN,亞洲,中國大陸,2020/2/13,59842,15133,4182.714,1368,252,105.143,41.436,0.947,1.63,0,0,0,0,0,0,0,0,0,0,0,75.46,6216,9
25102,CHN,亞洲,中國大陸,2020/2/14,66302,6460,4602.429,1520,152,114.714,45.909,1.052,1.41,0,0,0,0,0,0,0,0,0,0,0,75.46,7976,8
25103,CHN,亞洲,中國大陸,2020/2/15,68357,2055,4509.857,1662,142,122.571,47.332,1.151,1.17,0,0,0,0,0,0,0,0,0,0,0,75.46,9297,7
