ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,解除隔離數,解封指數
61929,JPN,亞洲,日本,2020/1/22,2,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,99999
61930,JPN,亞洲,日本,2020/1/23,2,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,99999
61931,JPN,亞洲,日本,2020/1/24,2,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,99999
61932,JPN,亞洲,日本,2020/1/25,2,0,0,0,0,0,0.016,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,99999
61933,JPN,亞洲,日本,2020/1/26,4,2,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61934,JPN,亞洲,日本,2020/1/27,4,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61935,JPN,亞洲,日本,2020/1/28,7,3,0.714,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61936,JPN,亞洲,日本,2020/1/29,7,0,0.714,0,0,0,0.056,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61937,JPN,亞洲,日本,2020/1/30,11,4,1.286,0,0,0,0.087,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61938,JPN,亞洲,日本,2020/1/31,15,4,1.857,0,0,0,0.119,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,1,99999
61939,JPN,亞洲,日本,2020/2/1,20,5,2.571,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,1,99999
61940,JPN,亞洲,日本,2020/2/2,20,0,2.286,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,1,99999
61941,JPN,亞洲,日本,2020/2/3,20,0,2.286,0,0,0,0.159,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,1,99999
61942,JPN,亞洲,日本,2020/2/4,22,2,2.143,0,0,0,0.175,0,0,0,0,0,0,0,0,0,0,0,0,0,19.44,1,99999
61943,JPN,亞洲,日本,2020/2/5,23,1,2.286,0,0,0,0.182,0,0,4,4,0,0,0,0,0,0,0,0,0,19.44,1,99999
61944,JPN,亞洲,日本,2020/2/6,23,0,1.714,0,0,0,0.182,0,0,19,23,0,0,0,0,0,0,0,0,0,19.44,1,99999
61945,JPN,亞洲,日本,2020/2/7,23,0,1.143,0,0,0,0.182,0,0,9,32,0,0,0,0,0,0,0,0,0,19.44,1,99999
61946,JPN,亞洲,日本,2020/2/8,24,1,0.571,0,0,0,0.19,0,0,4,36,0,0,0,0,0,0,0,0,0,19.44,1,99999
61947,JPN,亞洲,日本,2020/2/9,24,0,0.571,0,0,0,0.19,0,0,10,46,0,0,0,0,0,0,0,0,0,19.44,1,99999
61948,JPN,亞洲,日本,2020/2/10,26,2,0.857,0,0,0,0.206,0,0,12,58,0,0,0,0,0,0,0,0,0,19.44,4,99999
61949,JPN,亞洲,日本,2020/2/11,27,1,0.714,0,0,0,0.214,0,0,4,62,0,0,0,0,0,0,0,0,0,19.44,9,99999
61950,JPN,亞洲,日本,2020/2/12,28,1,0.714,0,0,0,0.222,0,0,10,72,0,10,0,14,0,0,0,0,0,19.44,9,99999
61951,JPN,亞洲,日本,2020/2/13,33,5,1.429,1,1,0.143,0.262,0.008,0,16,88,0,9,0,6,0,0,0,0,0,19.44,9,3
61952,JPN,亞洲,日本,2020/2/14,43,10,2.857,1,0,0.143,0.341,0.008,0,43,131,0,14,0,5,0,0,0,0,0,19.44,9,4
61953,JPN,亞洲,日本,2020/2/15,54,11,4.286,1,0,0.143,0.428,0.008,0,86,217,0,26,0,6,0,0,0,0,0,19.44,12,4
61954,JPN,亞洲,日本,2020/2/16,60,6,5.143,1,0,0.143,0.476,0.008,0,65,282,0,34,0,7,0,0,0,0,0,19.44,12,4
61955,JPN,亞洲,日本,2020/2/17,67,7,5.857,1,0,0.143,0.532,0.008,0,113,395,0,48,0,8,0,0,0,0,0,19.44,12,5
61956,JPN,亞洲,日本,2020/2/18,79,12,7.429,2,1,0.286,0.627,0.016,0,9,404,0,49,0,7,0,0,0,0,0,19.44,13,5
61957,JPN,亞洲,日本,2020/2/19,85,6,8.143,2,0,0.286,0.674,0.016,0,71,475,0,58,0,7,0,0,0,0,0,19.44,18,4
61958,JPN,亞洲,日本,2020/2/20,95,10,8.857,2,0,0.143,0.754,0.016,0,90,565,0,68,0,8,0,0,0,0,0,25,18,4
61959,JPN,亞洲,日本,2020/2/21,112,17,9.857,2,0,0.143,0.889,0.016,0,85,650,0,74,0,8,0,0,0,0,0,25,22,4
61960,JPN,亞洲,日本,2020/2/22,137,25,11.857,2,0,0.143,1.087,0.016,1.24,96,746,0,76,0,6,0,0,0,0,0,25,22,5
61961,JPN,亞洲,日本,2020/2/23,149,12,12.714,2,0,0.143,1.182,0.016,1.15,39,785,0,72,0,6,0,0,0,0,0,25,22,6
61962,JPN,亞洲,日本,2020/2/24,160,11,13.286,2,0,0.143,1.269,0.016,1.08,104,889,0,71,0,5,0,0,0,0,0,25,22,6
61963,JPN,亞洲,日本,2020/2/25,173,13,13.429,3,1,0.143,1.372,0.024,1.04,44,933,0,76,0,6,0,0,0,0,0,34.26,22,7
61964,JPN,亞洲,日本,2020/2/26,192,19,15.286,3,0,0.143,1.523,0.024,1.05,168,1101,0,89,0,6,0,0,0,0,0,34.26,22,8
61965,JPN,亞洲,日本,2020/2/27,218,26,17.571,4,1,0.286,1.729,0.032,1.08,151,1252,0,98,0,6,0,0,0,0,0,34.26,22,9
61966,JPN,亞洲,日本,2020/2/28,236,18,17.714,5,1,0.429,1.872,0.04,1.01,130,1382,0,105,0,6,0,0,0,0,0,34.26,22,10
61967,JPN,亞洲,日本,2020/2/29,245,9,15.429,6,1,0.571,1.944,0.048,1.01,178,1560,0,116,0,8,0,0,0,0,0,34.26,32,7
61968,JPN,亞洲,日本,2020/3/1,259,14,15.714,6,0,0.571,2.055,0.048,1.18,96,1656,0,124,0,8,0,0,0,0,0,34.26,32,7
61969,JPN,亞洲,日本,2020/3/2,278,19,16.857,6,0,0.571,2.205,0.048,1.34,71,1727,0,120,0,7,0,0,0,0,0,43.52,32,8
61970,JPN,亞洲,日本,2020/3/3,298,20,17.857,6,0,0.429,2.364,0.048,1.43,153,1880,0,135,0,8,0,0,0,0,0,43.52,43,6
61971,JPN,亞洲,日本,2020/3/4,333,35,20.143,7,1,0.571,2.642,0.056,1.57,3940,5820,0,674,0,34,0,0,0,0,0,43.52,43,7
61972,JPN,亞洲,日本,2020/3/5,365,32,21,7,0,0.429,2.896,0.056,1.64,699,6519,0,752,0,36,0,0,0,0,0,43.52,43,8
61973,JPN,亞洲,日本,2020/3/6,420,55,26.286,7,0,0.286,3.332,0.056,1.75,553,7072,0,813,0,31,0,0,0,0,0,43.52,46,8
61974,JPN,亞洲,日本,2020/3/7,466,46,31.571,7,0,0.143,3.697,0.056,1.68,147,7219,0,808,0,26,0,0,0,0,0,43.52,76,5
61975,JPN,亞洲,日本,2020/3/8,499,33,34.286,8,1,0.286,3.959,0.063,1.59,110,7329,0,810,0,24,0,0,0,0,0,43.52,76,6
61976,JPN,亞洲,日本,2020/3/9,527,28,35.571,10,2,0.571,4.181,0.079,1.55,1314,8643,0,988,0,28,0,0,0,0,0,40.74,76,6
61977,JPN,亞洲,日本,2020/3/10,585,58,41,13,3,1,4.641,0.103,1.54,424,9067,0,1027,0,25,0,0,0,0,0,40.74,101,5
61978,JPN,亞洲,日本,2020/3/11,640,55,43.857,15,2,1.143,5.077,0.119,1.43,181,9248,0,490,0,11,0,0,0,0,0,40.74,118,5
61979,JPN,亞洲,日本,2020/3/12,696,56,47.286,19,4,1.714,5.522,0.151,1.31,1855,11103,0,655,0,14,0,0,0,0,0,40.74,118,5
61980,JPN,亞洲,日本,2020/3/13,733,37,44.714,21,2,2,5.815,0.167,1.18,859,11962,0,699,0,16,0,0,0,0,0,40.74,118,5
61981,JPN,亞洲,日本,2020/3/14,795,62,47,22,1,2.143,6.307,0.175,1.19,107,12069,0,693,0,15,0,0,0,0,0,40.74,118,6
61982,JPN,亞洲,日本,2020/3/15,826,31,46.714,24,2,2.286,6.553,0.19,1.11,42,12111,0,683,0,15,0,0,0,0,0,40.74,118,6
61983,JPN,亞洲,日本,2020/3/16,843,17,45.143,30,6,2.857,6.688,0.238,1.07,2083,14194,0,793,0,18,0,0,0,0,0,40.74,144,5
61984,JPN,亞洲,日本,2020/3/17,893,50,44,30,0,2.429,7.084,0.238,1.04,203,14397,0,761,0,17,0,0,0,0,0,40.74,144,5
61985,JPN,亞洲,日本,2020/3/18,928,35,41.143,32,2,2.429,7.362,0.254,0.99,0,0,0,985,0,24,0,0,0,0,0,40.74,144,6
61986,JPN,亞洲,日本,2020/3/19,968,40,38.857,33,1,2,7.679,0.262,1.03,3490,17887,0,969,0,25,0,0,0,0,0,40.74,150,6
61987,JPN,亞洲,日本,2020/3/20,1022,54,41.286,34,1,1.857,8.108,0.27,1.11,119,18006,0,863,0,21,0,0,0,0,0,40.74,191,5
61988,JPN,亞洲,日本,2020/3/21,1059,37,37.714,36,2,2,8.401,0.286,1.14,132,18138,0,867,0,23,0,0,0,0,0,40.74,232,4
61989,JPN,亞洲,日本,2020/3/22,1104,45,39.714,40,4,2.286,8.758,0.317,1.32,56,18194,0,869,0,22,0,0,0,0,0,40.74,235,4
61990,JPN,亞洲,日本,2020/3/23,1144,40,43,41,1,1.571,9.076,0.325,1.5,3862,22056,0,1123,0,26,0,0,0,0,0,40.74,235,4
61991,JPN,亞洲,日本,2020/3/24,1217,73,46.286,42,1,1.714,9.655,0.333,1.63,0,0,0,1142,0,25,0,0,0,0,0,40.74,285,3
61992,JPN,亞洲,日本,2020/3/25,1314,97,55.143,45,3,1.857,10.424,0.357,1.77,674,22730,0,941,0,17,0,0,0,0,0,40.74,310,3
61993,JPN,亞洲,日本,2020/3/26,1416,102,64,47,2,2,11.234,0.373,1.86,1805,24535,0,950,0,15,0,0,0,0,0,40.74,359,3
61994,JPN,亞洲,日本,2020/3/27,1530,114,72.571,53,6,2.714,12.138,0.42,1.97,1442,25977,0,1139,0,16,0,0,0,0,0,40.74,372,3
61995,JPN,亞洲,日本,2020/3/28,1728,198,95.571,56,3,2.857,13.709,0.444,2.12,296,26273,0,1162,0,12,0,0,0,0,0,40.74,404,3
61996,JPN,亞洲,日本,2020/3/29,1907,179,114.714,63,7,3.286,15.129,0.5,2.1,206,26479,0,1184,0,10,0,0,0,0,0,40.74,424,4
61997,JPN,亞洲,日本,2020/3/30,2001,94,122.429,65,2,3.429,15.875,0.516,2.03,3481,29960,0,1129,0,9,0,0,0,0,0,40.74,424,4
