ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,解除隔離數,解封指數
119290,TWN,亞洲,台灣,2020/1/22,1,0,0,0,0,0,0.04,0,0,44,64,0,0,0,0,0,0,0,0,0,13.89,0,99999
119291,TWN,亞洲,台灣,2020/1/23,1,0,0,0,0,0,0.04,0,0,70,134,0.01,19,0,0,0,0,0,0,0,19.44,0,99999
119292,TWN,亞洲,台灣,2020/1/24,3,2,0,0,0,0,0.13,0,0,57,191,0.01,27,0,0,0,0,0,0,0,19.44,0,99999
119293,TWN,亞洲,台灣,2020/1/25,3,0,0,0,0,0,0.13,0,0,91,282,0.01,40,0,0,0,0,0,0,0,19.44,0,99999
119294,TWN,亞洲,台灣,2020/1/26,4,1,0,0,0,0,0.17,0,0,117,399,0.02,56,0,0,0,0,0,0,0,19.44,0,99999
119295,TWN,亞洲,台灣,2020/1/27,5,1,0,0,0,0,0.21,0,0,123,522,0.02,73,0,0,0,0,0,0,0,19.44,0,99999
119296,TWN,亞洲,台灣,2020/1/28,8,3,1,0,0,0,0.34,0,0,95,617,0.03,85,0.01,85,0,0,0,0,0,19.44,0,99999
119297,TWN,亞洲,台灣,2020/1/29,8,0,1,0,0,0,0.34,0,0,106,723,0.03,94,0.01,94,0,0,0,0,0,19.44,0,99999
119298,TWN,亞洲,台灣,2020/1/30,9,1,1.14,0,0,0,0.38,0,0,100,823,0.04,98,0.01,85.7,0,0,0,0,0,19.44,0,99999
119299,TWN,亞洲,台灣,2020/1/31,10,1,1,0,0,0,0.42,0,0,93,916,0.04,104,0.01,104,0,0,0,0,0,19.44,0,99999
119300,TWN,亞洲,台灣,2020/2/1,10,0,1,0,0,0,0.42,0,0,87,1003,0.04,103,0.01,103,0,0,0,0,0,19.44,0,99999
119301,TWN,亞洲,台灣,2020/2/2,10,0,0.86,0,0,0,0.42,0,0,64,1067,0.05,95,0.01,110.9,0,0,0,0,0,30.56,0,99999
119302,TWN,亞洲,台灣,2020/2/3,10,0,0.71,0,0,0,0.42,0,0,131,1198,0.05,97,0.01,135.9,0,0,0,0,0,30.56,0,99999
119303,TWN,亞洲,台灣,2020/2/4,11,1,0.43,0,0,0,0.46,0,0,103,1301,0.06,98,0,228.4,0,0,0,0,0,30.56,0,99999
119304,TWN,亞洲,台灣,2020/2/5,11,0,0.43,0,0,0,0.46,0,0,157,1458,0.06,105,0,244.8,0,0,0,0,0,30.56,0,99999
119305,TWN,亞洲,台灣,2020/2/6,16,5,1,0,0,0,0.67,0,0,77,1535,0.06,102,0.01,102,0,0,0,0,0,30.56,1,99999
119306,TWN,亞洲,台灣,2020/2/7,16,0,0.86,0,0,0,0.67,0,0,199,1734,0.07,117,0.01,136.5,0,0,0,0,0,30.56,1,99999
119307,TWN,亞洲,台灣,2020/2/8,17,1,1,0,0,0,0.71,0,0,225,1959,0.08,137,0.01,137,0,0,0,0,0,30.56,1,99999
119308,TWN,亞洲,台灣,2020/2/9,18,1,1.14,0,0,0,0.76,0,0,128,2087,0.09,146,0.01,127.7,0,0,0,0,0,30.56,1,99999
119309,TWN,亞洲,台灣,2020/2/10,18,0,1.14,0,0,0,0.76,0,0,205,2292,0.1,156,0.01,136.5,0,0,0,0,0,30.56,1,99999
119310,TWN,亞洲,台灣,2020/2/11,18,0,1,0,0,0,0.76,0,0,168,2460,0.1,166,0.01,166,0,0,0,0,0,30.56,1,99999
