ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,解除隔離數,解封指數
128579,USA,北美洲,美國,2020/1/22,1,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128580,USA,北美洲,美國,2020/1/23,1,0,0,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128581,USA,北美洲,美國,2020/1/24,2,1,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128582,USA,北美洲,美國,2020/1/25,2,0,0,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128583,USA,北美洲,美國,2020/1/26,5,3,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128584,USA,北美洲,美國,2020/1/27,5,0,0,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128585,USA,北美洲,美國,2020/1/28,5,0,0.571,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128586,USA,北美洲,美國,2020/1/29,6,1,0.714,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128587,USA,北美洲,美國,2020/1/30,6,0,0.714,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128588,USA,北美洲,美國,2020/1/31,8,2,0.857,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128589,USA,北美洲,美國,2020/2/1,8,0,0.857,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999
128590,USA,北美洲,美國,2020/2/2,8,0,0.429,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128591,USA,北美洲,美國,2020/2/3,11,3,0.857,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128592,USA,北美洲,美國,2020/2/4,11,0,0.857,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128593,USA,北美洲,美國,2020/2/5,11,0,0.714,0,0,0,0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128594,USA,北美洲,美國,2020/2/6,12,1,0.857,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128595,USA,北美洲,美國,2020/2/7,12,0,0.571,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128596,USA,北美洲,美國,2020/2/8,12,0,0.571,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,0,99999
128597,USA,北美洲,美國,2020/2/9,12,0,0.571,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128598,USA,北美洲,美國,2020/2/10,12,0,0.143,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128599,USA,北美洲,美國,2020/2/11,13,1,0.286,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128600,USA,北美洲,美國,2020/2/12,13,0,0.286,0,0,0,0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128601,USA,北美洲,美國,2020/2/13,14,1,0.286,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128602,USA,北美洲,美國,2020/2/14,14,0,0.286,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128603,USA,北美洲,美國,2020/2/15,14,0,0.286,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128604,USA,北美洲,美國,2020/2/16,14,0,0.286,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128605,USA,北美洲,美國,2020/2/17,14,0,0.286,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128606,USA,北美洲,美國,2020/2/18,14,0,0.143,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128607,USA,北美洲,美國,2020/2/19,14,0,0.143,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128608,USA,北美洲,美國,2020/2/20,14,0,0,0,0,0,0.042,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,3,99999
128609,USA,北美洲,美國,2020/2/21,16,2,0.286,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5,99999
128610,USA,北美洲,美國,2020/2/22,16,0,0.286,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5,99999
128611,USA,北美洲,美國,2020/2/23,16,0,0.286,0,0,0,0.048,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56,5,99999
