證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),股利殖利率-TSE,本益比-TSE,股價淨值比-TSE,現金股利率,成交量(千股),報酬率％,報酬率-Ln,市值(百萬元),流通在外股數(千股),市值比重％
9908,大台北       ,20000216,20.1,20.1,19.1,20.1,          -,26.8,          -,0,17445,6.9149,6.6863,10033,499200,0.07
9908,大台北       ,20000217,21.5,21.5,21.5,21.5,          -,28.67,          -,0,2680,6.9652,6.7333,10732,499200,0.073
9908,大台北       ,20000218,23,23,23,23,          -,30.67,          -,0,2664,6.9767,6.7441,11481,499200,0.079
9908,大台北       ,20000219,24.6,24.6,24.6,24.6,          -,32.8,          -,0,6171,6.9565,6.7252,12280,499200,0.084
9908,大台北       ,20000221,26.3,26.3,25.6,26.3,          -,35.07,          -,0,18815,6.9106,6.6822,13128,499200,0.093
9908,大台北       ,20000222,26.9,26.9,24.5,24.5,          -,32.67,          -,0,7534,-6.8441,-7.0896,12230,499200,0.088
9908,大台北       ,20000223,22.8,22.8,22.8,22.8,          -,30.4,          -,0,4626,-6.9388,-7.1913,11381,499200,0.082
9908,大台北       ,20000224,21.6,23.7,21.6,22,          -,29.33,          -,0,10383,-3.5088,-3.5718,10982,499200,0.08
9908,大台北       ,20000225,22,22,20.5,20.5,          -,27.33,          -,0,4062,-6.8182,-7.0618,10233,499200,0.076
9908,大台北       ,20000301,19.1,20.4,18.5,20.4,          -,27.2,          -,0,3737,6.8063,6.5847,10183,499200,0.073
9908,大台北       ,20000302,21.6,21.6,20.6,20.7,          -,27.6,          -,0,6281,1.4706,1.4599,10333,499200,0.075
9908,大台北       ,20000303,20.7,21.5,20.7,20.8,          -,27.73,          -,0,3811,0.4831,0.4819,10383,499200,0.075
9908,大台北       ,20000309,21,21,21,21,          -,28,          -,0,1317,6.599,6.3904,10483,499200,0.076
9908,大台北       ,20000310,22.4,22.4,22.4,22.4,          -,29.87,          -,0,1539,6.6667,6.4539,11182,499200,0.082
9908,大台北       ,20000313,23.9,23.9,20.9,23.8,          -,31.73,          -,0,12992,6.25,6.0625,11880,499200,0.094
9908,大台北       ,20000314,23.8,23.8,22.2,22.2,          -,29.6,          -,0,8580,-6.7227,-6.9593,11082,499200,0.087
9908,大台北       ,20000315,20.7,22,20.7,20.7,          -,27.6,          -,0,3284,-6.7568,-6.9959,10333,499200,0.083
9908,大台北       ,20000317,20.4,21.1,19.5,21.1,          -,28.13,          -,0,5367,6.5657,6.3591,10533,499200,0.084
9908,大台北       ,20000320,20.4,22.5,20.4,22.5,          -,30,          -,0,6735,6.6351,6.4242,11232,499200,0.091
9908,大台北       ,20000321,24,24,24,24,          -,32,          -,0,1334,6.6667,6.4539,11980,499200,0.092
9908,大台北       ,20000322,25.6,25.6,25.6,25.6,          -,34.13,          -,0,3588,6.6667,6.4539,12779,499200,0.098
9908,大台北       ,20000323,27.3,27.3,27.3,27.3,          -,36.4,          -,0,4741,6.6406,6.4294,13628,499200,0.099
9908,大台北       ,20000324,29.1,29.1,26.6,26.6,          -,35.47,          -,0,21584,-2.5641,-2.5975,13278,499200,0.097
9908,大台北       ,20000327,26.6,28.4,25.5,28.4,          -,37.87,          -,0,18266,6.7669,6.5478,14177,499200,0.1
9908,大台北       ,20000328,28.7,29.5,27.3,27.5,          -,36.67,          -,0,11883,-3.169,-3.2203,13728,499200,0.097
9908,大台北       ,20000329,26.8,27.8,26.5,26.7,          -,35.6,          -,0,5550,-2.9091,-2.9522,13328,499200,0.094
9908,大台北       ,20000330,26.1,27.5,24.9,25.3,          -,33.73,          -,0,7616,-5.2434,-5.3859,12629,499200,0.088
9908,大台北       ,20000331,24.7,26.3,24.7,25.7,          -,34.27,          -,0,4804,1.581,1.5687,12829,499200,0.09
9908,大台北       ,20000401,26,27.1,25.7,26.9,          -,35.87,          -,0,6263,4.6693,4.5635,13428,499200,0.093
9908,大台北       ,20000405,27,27,25.3,25.7,          -,34.27,          -,0,5087,-4.461,-4.5635,12829,499200,0.087
9908,大台北       ,20000406,25.3,26.3,25,25,          -,33.33,          -,0,4114,-2.7237,-2.7615,12480,499200,0.087
9908,大台北       ,20000407,25.5,25.6,25,25.1,          -,33.47,          -,0,2358,0.4,0.3992,12529,499200,0.088
9908,大台北       ,20000408,25.5,26.7,25.4,25.5,          -,34,          -,0,5234,1.5936,1.5811,12729,499200,0.089
9908,大台北       ,20000410,25.8,27.2,25.8,27.2,          -,36.27,          -,0,11629,6.6667,6.4539,13578,499200,0.093
9908,大台北       ,20000411,27.5,27.9,26,26.1,          -,34.8,          -,0,8981,-4.0441,-4.1282,13029,499200,0.09
9908,大台北       ,20000412,26,26.6,25.2,25.2,          -,33.6,          -,0,4337,-3.4483,-3.5091,12579,499200,0.088
9908,大台北       ,20000413,25,25.7,24.5,25,          -,33.33,          -,0,3752,-0.7937,-0.7968,12480,499200,0.09
9908,大台北       ,20000414,25,25.5,24.5,24.5,          -,32.67,          -,0,2780,-2,-2.0203,12230,499200,0.091
9908,大台北       ,20000415,22.8,23.9,22.8,22.8,          -,30.4,          -,0,2257,-6.9388,-7.1913,11381,499200,0.089
9908,大台北       ,20000417,22.8,24,22.5,22.8,          -,30.4,          -,0,2000,0,0,11381,499200,0.088
9908,大台北       ,20000418,23.8,23.8,23,23,          -,30.67,          -,0,2580,0.8772,0.8734,11481,499200,0.086
9908,大台北       ,20000419,23.5,23.7,23,23.1,          -,30.8,          -,0,1611,0.4348,0.4338,11531,499200,0.088
9908,大台北       ,20000420,23.3,23.5,23,23.4,          -,31.2,          -,0,1648,1.2987,1.2903,11681,499200,0.089
9908,大台北       ,20000421,23.4,24,23.1,23.1,          -,30.8,          -,0,2078,-1.2821,-1.2903,11531,499200,0.088
9908,大台北       ,20000424,23.5,23.5,21.5,21.5,          -,28.67,          -,0,2188,-6.9264,-7.178,10732,499200,0.085
9908,大台北       ,20000425,20.7,21.3,20,20.3,          -,27.07,          -,0,2032,-5.5814,-5.7432,10133,499200,0.079
9908,大台北       ,20000516,21,21.4,21,21.4,          -,24.04,          -,0,3497,7,6.7659,10682,499200,0.085
9908,大台北       ,20000517,22.8,22.8,21.6,22,          -,24.72,          -,0,10579,2.8037,2.7652,10982,499200,0.084
9908,大台北       ,20000518,21.8,21.8,21,21.5,          -,24.16,          -,0,2869,-2.2727,-2.299,10732,499200,0.082
9908,大台北       ,20000519,21.7,22.1,21.2,21.7,          -,24.38,          -,0,2963,0.9302,0.9259,10832,499200,0.082
9908,大台北       ,20000520,21.7,22.7,20.3,21.1,          -,23.71,          -,0,3806,-2.765,-2.8039,10533,499200,0.083
9908,大台北       ,20000522,21.6,21.8,20.5,20.6,          -,23.15,          -,0,1868,-2.3697,-2.3982,10283,499200,0.081
9908,大台北       ,20000531,20.4,20.5,20.1,20.3,          -,22.81,          -,0,1484,2.0101,1.9901,10133,499200,0.078
9908,大台北       ,20000608,18.6,19.7,18.6,19.7,          -,23.45,          -,0.96,1531,6.4865,6.2848,10444,530200,0.079
9908,大台北       ,20000609,20.2,20.2,19.1,19.6,          -,23.33,          -,0.96,2777,-0.5076,-0.5089,10391,530200,0.079
9908,大台北       ,20000615,19.1,19.9,19,19.9,          -,23.69,          -,0.95,4095,6.9892,6.7558,10550,530200,0.082
9908,大台北       ,20000616,19.9,19.9,19.1,19.3,          -,22.98,          -,0.98,1807,-3.0151,-3.0615,10232,530200,0.08
9908,大台北       ,20000617,19.3,19.8,19.2,19.2,          -,22.86,          -,0.98,1048,-0.5181,-0.5195,10179,530200,0.08
9908,大台北       ,20000620,19.9,19.9,18.8,19,          -,22.62,          -,0.99,1512,1.0638,1.0582,10073,530200,0.08
9908,大台北       ,20000622,18.6,19.1,18.5,19,          -,22.62,          -,0.99,1368,2.1505,2.1277,10073,530200,0.079
9908,大台北       ,20000623,19,19.3,18.8,19.3,          -,22.98,          -,0.98,771,1.5789,1.5666,10232,530200,0.081
9908,大台北       ,20000626,19.3,19.9,19.2,19.4,          -,23.1,          -,0.97,1921,0.5181,0.5168,10285,530200,0.083
9908,大台北       ,20000627,19.5,19.7,19,19.2,          -,22.86,          -,0.98,1031,-1.0309,-1.0363,10179,530200,0.083
9908,大台北       ,20000731,18.9,19.3,18.5,18.9,          -,22.5,          -,1,1605,1.0695,1.0638,10020,530200,0.083
9908,大台北       ,20070214,19.1,19.6,19.1,19.4,4.02,15.04,1.3,3.99,737,1.5707,1.5585,10017,516358,0.052
9908,大台北       ,20070226,19.7,20.1,19.5,19.95,3.91,15.47,1.34,3.88,800,2.8351,2.7956,10301,516358,0.053
9908,大台北       ,20070227,19.95,20,19.55,19.7,3.96,15.27,1.32,3.93,426,-1.2531,-1.2611,10172,516358,0.052
