證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),股利殖利率-TSE,本益比-TSE,股價淨值比-TSE,現金股利率,成交量(千股),報酬率％,報酬率-Ln,市值(百萬元),流通在外股數(千股),市值比重％
1301,台塑         ,20000104,63,65.5,63,65,          -,36.31,          -,1.01,34529,4,3.9221,229753,3534669,1.842
1303,南亞         ,20000104,72.5,73.5,71.5,73.5,          -,23.26,          -,0.73,62404,6.5217,6.3179,338450,4604774,2.714
1304,台聚         ,20000104,23.4,23.5,22.7,23.3,          -,19.42,          -,0,8642,0.431,0.4301,16956,727738,0.136
1305,華夏         ,20000104,23.7,24,23.2,23.9,          -,398.33,          -,0,7667,3.913,3.8384,10152,424803,0.081
1312,國喬         ,20000104,21,21.9,20.8,21.9,          -,0,          -,0,16471,6.8293,6.6062,13455,614394,0.108
1313,聯成         ,20000104,22.7,23.8,22.5,23.8,          -,30.51,          -,0.4,16559,6.7265,6.5099,14744,619499,0.118
1314,中石化       ,20000104,15.1,15.3,14.8,14.8,          -,164.44,          -,0,11022,-1.9868,-2.0068,20901,1412256,0.168
1326,台化         ,20000104,40,42.3,40,41.7,          -,12.41,          -,0.92,51416,5.303,5.1672,133312,3196953,1.069
1301,台塑         ,20000105,63.5,65,63.5,64,          -,35.75,          -,1.02,18578,-1.5385,-1.5504,226218,3534669,1.795
1303,南亞         ,20000105,72,74,72,73,          -,23.1,          -,0.74,45752,-0.6803,-0.6826,336148,4604774,2.668
1304,台聚         ,20000105,23.3,23.8,23.1,23.4,          -,19.5,          -,0,9545,0.4292,0.4283,17029,727738,0.135
1305,華夏         ,20000105,23.8,25.2,23.8,24.8,          -,413.33,          -,0,14947,3.7657,3.6965,10535,424803,0.084
1312,國喬         ,20000105,21.7,22.7,21.5,22.2,          -,0,          -,0,32571,1.3699,1.3606,13639,614394,0.108
1313,聯成         ,20000105,24.2,25.4,24.2,25.4,          -,32.56,          -,0.37,41554,6.7227,6.5064,15735,619499,0.125
1314,中石化       ,20000105,15,15.8,15,15.8,          -,175.56,          -,0,37382,6.7568,6.5383,22313,1412256,0.177
1326,台化         ,20000105,41,43.5,41,41.9,          -,12.47,          -,0.92,45823,0.4796,0.4785,133952,3196953,1.063
1301,台塑         ,20000106,64,67,64,65.5,          -,36.59,          -,1,38717,2.3438,2.3167,231520,3534669,1.824
1303,南亞         ,20000106,73,75.5,72,73,          -,23.1,          -,0.74,45398,0,0,336148,4604774,2.648
1304,台聚         ,20000106,23.8,25,23.7,25,          -,20.83,          -,0,25493,6.8376,6.614,18193,727738,0.143
1305,華夏         ,20000106,25.2,26.5,25.2,26.5,          -,441.67,          -,0,19617,6.8548,6.6301,11257,424803,0.089
1312,國喬         ,20000106,22.5,23.1,22,22.3,          -,0,          -,0,27251,0.4505,0.4494,13700,614394,0.108
1313,聯成         ,20000106,25.4,26.2,24.8,25.3,          -,32.44,          -,0.38,29924,-0.3937,-0.3945,15673,619499,0.123
1314,中石化       ,20000106,15.8,16.2,15.5,15.8,          -,175.56,          -,0,31774,0,0,22313,1412256,0.176
1326,台化         ,20000106,42.3,44,42.1,42.6,          -,12.68,          -,0.9,54251,1.6706,1.6568,136190,3196953,1.073
1301,台塑         ,20000107,66.5,67.5,65.5,66,          -,36.87,          -,0.99,25139,0.7634,0.7605,233288,3534669,1.854
1303,南亞         ,20000107,73,74,72,73,          -,23.1,          -,0.74,29670,0,0,336148,4604774,2.671
1304,台聚         ,20000107,26,26.7,25.8,26.2,          -,21.83,          -,0,35163,4.8,4.6884,19066,727738,0.151
1305,華夏         ,20000107,27.5,28.3,27.5,28.3,          -,471.67,          -,0,29563,6.7925,6.5717,12021,424803,0.096
1312,國喬         ,20000107,22.6,23.5,22.6,22.7,          -,0,          -,0,24629,1.7937,1.7778,13946,614394,0.111
1313,聯成         ,20000107,25.6,26.5,25.4,26,          -,33.33,          -,0.37,26907,2.7668,2.7292,16106,619499,0.128
1314,中石化       ,20000107,16,16.7,16,16.5,          -,183.33,          -,0,38664,4.4304,4.335,23302,1412256,0.185
1326,台化         ,20000107,42.8,43.3,42.1,42.3,          -,12.59,          -,0.91,19715,-0.7042,-0.7067,135231,3196953,1.075
1301,台塑         ,20000110,67,70,66.5,69.5,          -,38.83,          -,0.94,45376,5.303,5.1672,245659,3534669,1.897
1303,南亞         ,20000110,73.5,78,73.5,78,          -,24.68,          -,0.69,48770,6.8493,6.6249,359172,4604774,2.773
1304,台聚         ,20000110,27,27.5,26.3,26.7,          -,22.25,          -,0,26737,1.9084,1.8904,19430,727738,0.15
1305,華夏         ,20000110,28.8,30,28.8,29.1,          -,485,          -,0,29455,2.8269,2.7876,12361,424803,0.095
1308,亞聚         ,20000110,43,44.6,43,44.6,          -,21.86,          -,3.2,16732,6.9544,6.7233,10165,227927,0.078
1312,國喬         ,20000110,23.3,24.2,23.2,24.2,          -,0,          -,0,27503,6.6079,6.3988,14868,614394,0.115
1313,聯成         ,20000110,26.5,27.3,26.3,27,          -,34.62,          -,0.35,24169,3.8462,3.774,16726,619499,0.129
1314,中石化       ,20000110,16.7,17,16.5,16.9,          -,187.78,          -,0,30989,2.4242,2.3953,23867,1412256,0.184
1326,台化         ,20000110,42.5,43.9,42.5,43.5,          -,12.95,          -,0.88,39090,2.8369,2.7974,139067,3196953,1.074
1301,台塑         ,20000111,70,70.5,66.5,66.5,          -,37.15,          -,0.98,41951,-4.3165,-4.4125,235055,3534669,1.85
1303,南亞         ,20000111,79.5,79.5,74,74,          -,23.42,          -,0.73,55304,-5.1282,-5.2644,340753,4604774,2.682
1304,台聚         ,20000111,27.2,27.4,24.9,25.5,          -,21.25,          -,0,20615,-4.4944,-4.5985,18557,727738,0.146
1305,華夏         ,20000111,29.4,29.8,27.5,27.6,          -,460,          -,0,14454,-5.1546,-5.2922,11724,424803,0.092
