證券代碼,簡稱,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),股利殖利率-TSE,本益比-TSE,股價淨值比-TSE,現金股利率,成交量(千股),報酬率％,報酬率-Ln,市值(百萬元),流通在外股數(千股),市值比重％
6244,茂迪         ,20050119,205,219,202,219,2.37,23.93,9.41,0.61,2901,6.8293,6.6062,10544,48148,1.004
6244,茂迪         ,20050120,224,234,223,234,2.22,25.57,10.06,0.57,3002,6.8493,6.6249,11266,48148,1.071
6244,茂迪         ,20050121,234,250,229,247,2.11,26.99,10.61,0.54,3417,5.5556,5.4067,11892,48148,1.132
6244,茂迪         ,20050124,247,255,239,243,2.14,26.56,10.44,0.55,1799,-1.6194,-1.6327,11699,48148,1.131
6244,茂迪         ,20050125,238,243,232,243,2.14,26.56,10.44,0.55,1489,0,0,11699,48148,1.133
6244,茂迪         ,20050126,245,260,245,260,2,28.42,11.17,0.52,1898,6.9959,6.762,12518,48148,1.208
6244,茂迪         ,20050127,271,278,267,278,1.87,30.38,11.95,0.48,1571,6.9231,6.6939,13385,48148,1.291
6244,茂迪         ,20050128,295,297,281,290,1.79,31.69,12.46,0.46,4182,4.3165,4.226,13962,48148,1.33
6244,茂迪         ,20050131,283,299,283,287,1.81,31.37,12.33,0.47,1301,-1.0345,-1.0399,13818,48148,1.292
6244,茂迪         ,20050201,288,294,286,288,1.81,31.48,8.86,0.47,1181,0.3484,0.3478,13866,48148,1.288
6244,茂迪         ,20050202,290,293,280,280,1.86,30.6,8.61,0.48,1164,-2.7778,-2.8171,13481,48148,1.254
6244,茂迪         ,20050203,280,280,267,273,1.9,29.84,8.4,0.49,1890,-2.5,-2.5318,13144,48148,1.22
6244,茂迪         ,20050214,282,289,277,278,1.87,30.38,8.55,0.48,2337,1.8315,1.8149,13385,48148,1.225
6244,茂迪         ,20050215,272,292,268,287,1.81,31.37,8.83,0.47,3127,3.2374,3.1861,13818,48148,1.265
6244,茂迪         ,20050216,287,307,283,307,1.69,33.55,9.44,0.44,2386,6.9686,6.7366,14781,48148,1.325
6244,茂迪         ,20050217,310,328,304,325,1.6,35.52,10,0.41,2466,5.8632,5.6977,15648,48148,1.403
6244,茂迪         ,20050218,325,347,318,344,1.51,37.6,10.58,0.39,2186,5.8462,5.6816,16562,48148,1.455
6244,茂迪         ,20050221,354,367,345,356,1.46,38.91,10.95,0.38,1589,3.4884,3.4289,17140,48148,1.495
6244,茂迪         ,20050222,356,359,345,345,1.51,37.7,10.61,0.39,1647,-3.0899,-3.1386,16611,48148,1.461
6244,茂迪         ,20050223,336,348,332,344,1.51,37.6,10.58,0.39,2170,-0.2899,-0.2903,16562,48148,1.438
6244,茂迪         ,20050224,340,354,338,342,1.52,37.38,10.52,0.39,1386,-0.5814,-0.5831,16466,48148,1.44
6244,茂迪         ,20050225,345,349,319,323,1.61,35.3,9.94,0.42,2859,-5.5556,-5.7158,15551,48148,1.349
6244,茂迪         ,20050301,317,327,316,320,1.63,34.97,9.84,0.42,905,-0.9288,-0.9331,15407,48148,1.304
6244,茂迪         ,20050302,324.5,342,324.5,342,1.52,37.38,10.52,0.39,2147,6.875,6.649,16466,48148,1.397
6244,茂迪         ,20050303,346,365.5,346,365.5,1.42,39.95,11.24,0.37,2293,6.8713,6.6456,17598,48148,1.479
6244,茂迪         ,20050304,375,383,348,351,1.48,38.36,10.8,0.38,2673,-3.9672,-4.048,16899,48148,1.421
6244,茂迪         ,20050307,353,365,346,359,1.45,39.23,11.04,0.37,1703,2.2792,2.2536,17285,48148,1.44
6244,茂迪         ,20050308,363,365,349,351,1.48,38.36,10.8,0.38,1403,-2.2284,-2.2536,16899,48148,1.411
6244,茂迪         ,20050309,351,363.5,349,361,1.44,39.45,11.1,0.37,1056,2.849,2.8092,17381,48148,1.433
6244,茂迪         ,20050310,362,378,362,365.5,1.42,39.95,11.24,0.37,2016,1.2465,1.2388,17598,48148,1.442
6244,茂迪         ,20050311,367.5,370.5,358,361,1.44,39.45,11.1,0.37,1058,-1.2312,-1.2388,17381,48148,1.423
6244,茂迪         ,20050314,358,359.5,351,351,1.48,38.36,10.8,0.38,969,-2.7701,-2.8092,16899,48148,1.392
6244,茂迪         ,20050315,351,359,343,346,1.5,37.81,10.64,0.39,1421,-1.4245,-1.4347,16659,48148,1.409
6244,茂迪         ,20050316,348,357,348,355,1.46,38.8,10.92,0.38,1363,2.6012,2.5679,17092,48148,1.453
6244,茂迪         ,20050317,359,369.5,359,369.5,1.41,40.38,11.37,0.36,1847,4.0845,4.0033,17790,48148,1.514
6244,茂迪         ,20050318,380,395,376.5,395,1.32,43.17,12.15,0.34,2423,6.9012,6.6735,19018,48148,1.601
6244,茂迪         ,20050321,401,406.5,390,398,1.31,43.5,12.24,0.34,2115,0.7595,0.7566,19162,48148,1.609
6244,茂迪         ,20050322,395,397,384,388.5,1.34,42.46,11.95,0.35,1916,-2.3869,-2.4159,18713,48168,1.586
6244,茂迪         ,20050323,380,397,380,397,1.31,43.39,12.21,0.34,1299,2.1879,2.1643,19122,48168,1.61
6244,茂迪         ,20050324,399.5,402.5,385,385,1.35,42.08,11.84,0.35,1006,-3.0227,-3.0693,18544,48168,1.563
6244,茂迪         ,20050325,388.5,399,382,388,1.34,42.4,11.93,0.35,1058,0.7792,0.7762,18689,48168,1.56
6244,茂迪         ,20050328,395,396.5,390,390,1.33,42.62,12,0.34,667,0.5155,0.5141,18785,48168,1.568
6244,茂迪         ,20050329,390,393,377,381,1.36,41.64,11.72,0.35,978,-2.3077,-2.3347,18352,48168,1.565
6244,茂迪         ,20050330,381,388,381,385.5,1.35,42.13,11.86,0.35,611,1.1811,1.1742,18568,48168,1.584
6244,茂迪         ,20050331,390,391,381,381,1.36,41.64,11.72,0.34,796,-1.1673,-1.1742,18977,49809,1.59
6244,茂迪         ,20050401,381,383.5,354.5,354.5,1.47,38.74,10.9,0.37,1441,-6.9554,-7.2091,17657,49809,1.467
6244,茂迪         ,20050404,345.5,367,345.5,361,1.44,39.45,11.1,0.36,1583,1.8336,1.817,17981,49809,1.497
6244,茂迪         ,20050406,363,376,363,374,1.39,40.87,11.5,0.35,1398,3.6011,3.5378,18628,49809,1.552
6244,茂迪         ,20050407,378,380,366,366,1.42,40,11.26,0.35,1252,-2.139,-2.1622,18230,49809,1.523
6244,茂迪         ,20050408,368,373.5,366,372,1.4,40.66,11.44,0.35,1276,1.6393,1.6261,18528,49809,1.539
6244,茂迪         ,20050411,375,377.5,346,348,1.49,38.03,10.7,0.37,2173,-6.4516,-6.6691,17333,49809,1.454
6244,茂迪         ,20050412,350,352.5,333,351.5,1.48,38.42,10.81,0.37,868,1.0057,1.0007,17507,49809,1.469
6244,茂迪         ,20050413,353.5,353.5,346,350,1.49,38.25,10.77,0.37,311,-0.4267,-0.4277,17433,49809,1.454
6244,茂迪         ,20050414,345,359.5,341.5,355,1.46,38.8,10.92,0.37,550,1.4286,1.4185,17682,49809,1.475
6244,茂迪         ,20050415,355,377.5,352.5,372,1.4,40.66,11.44,0.35,1478,4.7887,4.6776,18528,49809,1.556
6244,茂迪         ,20050418,369,377.5,366,372,1.4,40.66,11.44,0.35,1227,0,0,18528,49809,1.61
6244,茂迪         ,20050419,377,398,372,398,1.31,43.5,12.24,0.33,2000,6.9892,6.7558,19823,49809,1.718
6244,茂迪         ,20050420,408,416.5,391,393,1.32,42.95,12.09,0.33,2666,-1.2563,-1.2642,19574,49809,1.746
6244,茂迪         ,20050421,385,395.5,380,390,1.33,42.62,12,0.33,1317,-0.7634,-0.7663,19425,49809,1.718
6244,茂迪         ,20050422,395,395,378,380,1.37,41.53,11.69,0.34,1107,-2.5641,-2.5975,18927,49809,1.674
6244,茂迪         ,20050425,382,384.5,376,376.5,1.38,41.15,11.58,0.34,579,-0.9211,-0.9253,18753,49809,1.657
6244,茂迪         ,20050426,379.5,382,376,381,1.36,41.64,11.72,0.34,704,1.1952,1.1881,18977,49809,1.668
6244,茂迪         ,20050427,378,380,372,372.5,1.4,40.71,11.46,0.35,545,-2.231,-2.2562,18553,49809,1.65
6244,茂迪         ,20050428,372,383,371,383,1.36,41.86,11.78,0.34,913,2.8188,2.7798,19076,49809,1.692
6244,茂迪         ,20050429,381,383.5,377.5,377.5,1.38,41.26,11.61,0.34,509,-1.436,-1.4464,18802,49809,1.67
6244,茂迪         ,20050503,384.5,402.5,382,393,1.32,42.95,12.09,0.33,1617,4.106,4.0239,19599,49872,1.723
6244,茂迪         ,20050504,389,389,366,372,1.4,40.66,11.44,0.35,1651,-5.3435,-5.4916,18552,49872,1.653
6244,茂迪         ,20050505,375,384,370,379,1.37,41.42,11.66,0.34,1290,1.8817,1.8642,18901,49872,1.646
6244,茂迪         ,20050506,379,404.5,379,398,1.31,43.5,12.24,0.33,2121,5.0132,4.8916,19849,49872,1.719
6244,茂迪         ,20050509,400.5,412,397.5,406,1.28,44.37,12.49,0.32,1511,2.0101,1.9901,20248,49872,1.747
6244,茂迪         ,20050510,409.5,412,403,405,1.28,44.26,12.46,0.32,616,-0.2463,-0.2466,20198,49872,1.747
