證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年,外資總投資股數,外資總投資比率%-TSE
1309 台達化,2013/1/2,9.59,9.74,9.58,9.65,389,1.0471,0.1187,"3,161",0,0.78,7.25,1.97,17,"174,542",53.27,-1.06,-0.44,-0.18,9.6465,9.3918,1.2511,1.2031,"9,881",3.01
1309 台達化,2013/1/3,9.72,9.85,9.72,9.8,807,1.5544,0.2463,"3,210",0,0.79,7.14,1.94,17,174542,53.27,-1.06,-0.44,-0.18,9.648,9.3877,1.2602,1.2097,"9,915",3.02
1309 台達化,2013/1/4,9.81,10.05,9.77,9.9,"2,146",1.0204,0.655,"3,243",0,0.8,7.07,1.92,17,174542,53.27,-1.06,-0.44,-0.18,9.6595,9.3885,1.244,1.2059,"9,857",3
1309 台達化,2013/1/7,9.96,10.55,9.96,10.55,"6,545",6.5657,1.9976,"3,456",0,0.85,6.64,1.81,17,174542,53.27,-1.06,-0.44,-0.18,9.7065,9.401,1.1248,1.1676,"9,693",2.95
1309 台達化,2013/1/8,10.55,10.6,10.2,10.25,"2,753",-2.8436,0.8402,"3,358",0,0.83,6.83,1.86,17,174542,53.27,-1.06,-0.44,-0.18,9.738,9.4107,1.1296,1.1723,"9,564",2.91
1309 台達化,2013/1/9,10.25,10.35,10.15,10.25,927,0,0.2829,"3,358",0,0.83,6.83,1.86,17,174542,53.27,-1.06,-0.44,-0.18,9.771,9.4193,1.1312,1.1771,"9,552",2.91
1309 台達化,2013/1/10,10.25,10.4,10.2,10.3,"1,498",0.4878,0.4572,"3,374",0,0.83,6.8,1.85,17,174542,53.27,-1.06,-0.44,-0.18,9.802,9.4287,1.1187,1.1653,"9,556",2.91
1309 台達化,2013/1/11,10.3,10.55,10.25,10.25,"2,128",-0.4854,0.6495,"3,358",0,0.83,6.83,1.86,17,174542,53.27,-1.06,-0.44,-0.18,9.8245,9.4372,1.1224,1.1656,"9,551",2.91
1309 台達化,2013/1/14,10.25,10.25,10.05,10.15,973,-0.9756,0.297,"3,325",0,0.82,6.9,1.88,17,174542,53.27,-1.06,-0.44,-0.18,9.8425,9.444,1.1209,1.1638,"9,531",2.9
1309 台達化,2013/1/15,10.15,10.15,10,10,958,-1.4778,0.2924,"3,276",0,0.81,7,1.9,17,174542,53.27,-1.06,-0.44,-0.18,9.8575,9.4482,1.1255,1.1656,"9,578",2.92
1309 台達化,2013/1/16,10.05,10.15,10,10,439,0,0.134,"3,276",0,0.81,7,1.9,17,174542,53.27,-1.06,-0.44,-0.18,9.8675,9.4525,1.1066,1.1784,"9,571",2.92
1309 台達化,2013/1/17,10.05,10.1,9.8,9.8,"1,754",-2,0.5353,"3,210",0,0.79,7.14,1.94,17,174542,53.27,-1.06,-0.44,-0.18,9.8665,9.4547,1.1293,1.1713,"9,370",2.85
1309 台達化,2013/1/18,9.87,10,9.87,10,717,2.0408,0.2188,"3,276",0,0.81,7,1.9,17,174542,53.27,-1.06,-0.44,-0.18,9.8775,9.4613,1.1407,1.1735,"9,421",2.87
1309 台達化,2013/1/21,10.05,10.05,9.92,9.97,357,-0.3,0.109,"3,266",0,0.81,7.02,1.91,17,174542,53.27,-1.06,-0.44,-0.18,9.899,9.4777,1.1586,1.1736,"9,370",2.85
