證券代碼,年月日,開盤價(元),最高價(元),最低價(元),收盤價(元),成交量(千股),報酬率％,週轉率％,市值(百萬元),本益比-TSE,股價淨值比-TSE,股利殖利率-TSE,現金股利率,1000張以上  (人數),1000張以上  (千股),1000張以上  (比率),ROE－綜合損益,ROA－綜合損益,常續性EPS,20日均價(元),60日均價(元),CAPM_Beta 三月,CAPM_Beta 一年
3576 聯合再生,2005/12/30,,,,,,,,,,,,,,,,,,-0.08,,,,
3576 聯合再生,2006/12/29,,,,,,,,,,,,,,,,,,0.15,,,,
3576 聯合再生,2007/12/31,,,,,,,,,,,,,,,,,,5.6,,,,
3576 聯合再生,2008/6/30,,,,,,,,,,,,,,,,,,4.83,,,,
3576 聯合再生,2008/12/31,,,,,,,,,,,,,,,,,,3.16,,,,
3576 聯合再生,2009/1/12,37.9,43,37.9,41,"13,655",105,8.5617,"6,539",11.92,1.2,0,0.36,,,,,,,41,41,,
3576 聯合再生,2009/1/13,39.8,39.9,38.5,39.2,"5,256",-4.3902,3.2955,"6,252",11.4,1.15,0,0.38,,,,,,,40.1,40.1,,
3576 聯合再生,2009/1/14,39.2,40.6,39.2,39.2,"4,299",0,2.6955,"6,252",11.4,1.15,0,0.38,,,,,,,39.8,39.8,-29.1686,
3576 聯合再生,2009/1/15,37,38.5,36.5,36.5,"3,851",-6.8878,2.4146,"5,821",10.61,1.07,0,0.41,,,,,,,38.975,38.975,3.2572,
3576 聯合再生,2009/1/16,36.6,37.45,35.5,35.6,"3,427",-2.4658,2.1487,"5,677",10.35,1.04,0,0.42,,,,,,,38.3,38.3,1.5156,
3576 聯合再生,2009/1/17,36.6,36.6,33.8,34.1,"3,705",-4.2135,2.323,"5,438",9.91,1,0,0.44,,,,,,,37.6,37.6,0.8451,
3576 聯合再生,2009/1/19,33.9,33.9,32.3,32.4,"4,689",-4.9853,2.94,"5,167",9.42,0.95,0,0.46,,,,,,,36.8571,36.8571,0.5656,
3576 聯合再生,2009/1/20,31.8,34,31,33.2,"3,987",2.4691,2.4998,"5,295",9.65,0.97,0,0.45,,,,,,,36.4,36.4,1.1726,
3576 聯合再生,2009/1/21,32.05,32.8,32.05,32.25,"2,333",-2.8614,1.457,"5,164",9.38,0.94,0,0.46,,,,,,,35.9389,35.9389,0.8437,
3576 聯合再生,2009/2/2,33,34.5,32.35,34.5,"3,176",6.9767,1.9835,"5,524",10.03,1.01,0,0.43,,,,,,,35.795,35.795,0.7739,
3576 聯合再生,2009/2/3,34.7,36.5,34.7,35.5,"4,263",2.8986,2.6623,"5,684",10.32,1.04,0,0.42,,,,,,,35.7682,35.7682,0.1591,
3576 聯合再生,2009/2/4,35.85,35.9,34.6,34.8,"2,561",-1.9718,1.5994,"5,572",10.12,1.02,0,0.43,,,,,,,35.6875,35.6875,0.0192,
3576 聯合再生,2009/2/5,34.3,35.8,34,35,"2,089",0.5747,1.3046,"5,604",10.17,1.02,0,0.42,,,,,,,35.6346,35.6346,0.0973,
3576 聯合再生,2009/2/6,35.5,36.2,34.4,34.6,"3,400",-1.1429,2.1233,"5,540",10.06,1.01,0,0.43,,,,,,,35.5607,35.5607,-0.3524,
3576 聯合再生,2009/2/9,34.8,36.1,34.8,35.1,"3,100",1.4451,1.936,"5,620",10.2,1.03,0,0.42,,,,,,,35.53,35.53,-0.4007,
3576 聯合再生,2009/2/10,35.6,35.95,35.3,35.95,"2,806",2.4217,1.7524,"5,756",10.45,1.05,0,0.41,,,,,,,35.5563,35.5563,-0.4447,
3576 聯合再生,2009/2/11,35.3,38.45,35.3,38.45,"6,011",6.9541,3.7539,"6,156",11.18,1.12,0,0.39,,,,,,,35.7265,35.7265,-0.4126,
3576 聯合再生,2009/2/12,39,39.5,37,37,"5,869",-3.7711,3.6653,"5,924",10.76,1.08,0,0.4,,,,,,,35.7972,35.7972,0.0716,
3576 聯合再生,2009/2/13,37.5,38.9,37.2,38.6,"3,737",4.3243,2.3338,"6,180",11.22,1.13,0,0.38,,,,,,,35.9447,35.9447,0.0184,
3576 聯合再生,2009/2/16,38.4,39.9,38.2,39,"4,064",1.0363,2.538,"6,244",11.34,1.14,0,0.38,,,,,,,36.0975,36.0975,0.0309,
3576 聯合再生,2009/2/17,39,39.5,37.7,37.9,"2,757",-2.8205,1.7218,"6,068",11.02,1.11,0,0.39,,,,,,,35.9425,36.1833,0.2933,
3576 聯合再生,2009/2/18,36.7,37.4,35.8,36.6,"2,547",-3.4301,1.5906,"5,860",10.64,1.07,0,0.4,,,,,,,35.8125,36.2023,0.2809,
3576 聯合再生,2009/2/19,36.3,37.8,36.3,37.05,"1,746",1.2295,1.0904,"5,932",10.77,1.08,0,0.4,,,,,,,35.705,36.2391,0.251,
3576 聯合再生,2009/2/20,36.6,37.5,36,36.05,"2,143",-2.6991,1.3383,"5,772",10.48,1.05,0,0.41,,,,,,,35.6825,36.2313,0.4331,
3576 聯合再生,2009/2/23,35.5,36,34.6,35.25,"2,768",-2.2191,1.7286,"5,644",10.25,1.03,0,0.42,,,,,,,35.665,36.192,0.3509,
3576 聯合再生,2009/2/24,34.7,35.2,34.6,35,"1,454",-0.7092,0.908,"5,604",10.17,1.02,0,0.42,,,,,,,35.71,36.1462,0.4085,
3576 聯合再生,2009/2/25,36.3,37.45,36,37.4,"3,544",6.8571,2.2133,"5,988",10.87,1.09,0,0.4,,,,,,,35.96,36.1926,0.4606,
3576 聯合再生,2009/2/26,37.25,37.25,36.1,36.15,"2,334",-3.3422,1.4576,"5,788",10.51,1.06,0,0.41,,,,,,,36.1075,36.1911,0.4126,
3576 聯合再生,2009/2/27,36.5,36.8,36.3,36.75,"1,531",1.6598,0.9552,"5,890",10.68,1.07,0,0.4,,,,,,,36.3325,36.2103,0.3917,
3576 聯合再生,2009/3/2,36.45,36.45,35,35.05,"2,401",-4.6259,1.4981,"5,617",10.19,1.03,0,0.42,,,,,,,36.36,36.1717,0.6232,0.6232
3576 聯合再生,2009/3/3,34,35.1,33.4,35,"1,656",-0.1427,1.0332,"5,609",10.17,1.02,0,0.42,,,,,,,36.335,36.1339,0.6143,0.6143
3576 聯合再生,2009/3/4,35,35.85,35,35.8,"1,696",2.2857,1.0582,"5,737",10.41,1.05,0,0.41,,,,,,,36.385,36.1234,0.5589,0.5589
