證券名稱,簡稱,年月日,投信買賣超(千股),投信買賣超市值(百萬),投信持股數(千股),投信持股數市值(百萬),合計買賣超(千股),合計買賣超市值(百萬),合計持股數(千股),合計持股數市值(百萬),外資買進張數,外資賣出張數,投信持股率%,投信買進張數,投信賣出張數,投信週轉率%
1308,亞聚         ,20130102,0,0,525,13.39,102,2.6,25154,641.43,176,74,0.11,0,0,0
1308,亞聚         ,20130103,-1,-0.03,524,13.41,38,0.97,25192,644.92,37,9,0.11,0,1,0
1308,亞聚         ,20130104,349,9.25,873,23.13,553,14.65,25745,682.24,76,273,0.19,350,1,0.04
1308,亞聚         ,20130107,1475,41.82,2348,66.57,1124,31.87,26869,761.74,59,112,0.5,1477,2,0.16
1308,亞聚         ,20130108,1571,44.54,3919,111.1,1560,44.23,28429,805.96,74,338,0.83,1571,0,0.17
1308,亞聚         ,20130109,244,6.82,4163,116.36,340,9.5,28769,804.09,60,10,0.89,244,0,0.03
1308,亞聚         ,20130110,811,22.71,4974,139.27,840,23.52,29655,830.34,70,239,1.06,961,150,0.12
1308,亞聚         ,20130111,-47,-1.32,4927,138.7,755,21.25,30450,857.17,805,138,1.05,77,124,0.02
1308,亞聚         ,20130114,132,3.72,5059,142.41,127,3.58,30587,861.02,129,114,1.08,132,0,0.01
1308,亞聚         ,20130115,1,0.03,5060,141.17,-124,-3.46,30463,849.92,2,38,1.08,1,0,0
1308,亞聚         ,20130116,2,0.05,5062,137.43,-191,-5.19,30272,821.88,7,124,1.08,2,0,0
1308,亞聚         ,20130117,-16,-0.42,5046,131.95,101,2.64,30373,794.25,216,7,1.07,2,18,0
1308,亞聚         ,20130118,-98,-2.66,4948,134.09,642,17.4,31015,840.51,820,0,1.05,0,98,0.01
1308,亞聚         ,20130121,3,0.08,4951,133.92,18,0.49,31033,839.44,44,10,1.05,3,0,0
1308,亞聚         ,20130122,-35,-0.95,4916,132.73,-105,-2.84,30948,835.6,21,88,1.05,0,35,0
1308,亞聚         ,20130123,0,0,4916,131.5,-77,-2.06,30805,824.03,13,66,1.05,0,0,0
1308,亞聚         ,20130124,-1,-0.03,4915,129.51,-182,-4.8,30333,799.27,0,135,1.05,0,1,0
1308,亞聚         ,20130125,-421,-10.97,4494,117.07,-565,-14.72,29778,775.72,16,131,0.96,0,421,0.04
1308,亞聚         ,20130128,-265,-6.82,4229,108.9,-266,-6.85,29512,759.93,25,16,0.9,0,265,0.03
1308,亞聚         ,20130129,0,0,4229,111.65,-29,-0.77,29538,779.8,38,69,0.9,0,0,0
1308,亞聚         ,20130130,0,0,4229,112.07,-130,-3.44,29448,780.37,60,120,0.9,0,0,0
1308,亞聚         ,20130131,1,0.03,4230,113.15,-70,-1.87,29183,780.65,28,79,0.9,1,0,0
1308,亞聚         ,20130201,0,0,4230,112.94,22,0.59,29205,779.77,75,53,0.9,0,0,0
1308,亞聚         ,20130204,12,0.32,4242,113.47,-101,-2.7,29114,778.8,23,147,0.9,12,0,0
1308,亞聚         ,20130205,-229,-6.01,4013,105.34,-269,-7.06,28845,757.18,105,162,0.85,11,240,0.03
1308,亞聚         ,20130206,-273,-7.17,3740,98.18,-179,-4.7,28666,752.48,122,108,0.8,0,273,0.03
1308,亞聚         ,20130218,0,0,3740,97.8,-199,-5.2,28467,744.41,103,297,0.8,0,0,0
1308,亞聚         ,20130219,-391,-10.15,3349,86.91,-385,-9.99,27208,706.05,93,119,0.71,0,391,0.04
1308,亞聚         ,20130220,-280,-7.27,3069,79.64,-333,-8.64,26875,697.41,58,120,0.65,0,280,0.03
1308,亞聚         ,20130221,-220,-5.68,2849,73.5,-265,-6.84,26590,686.02,41,113,0.61,0,220,0.02
1308,亞聚         ,20130222,-152,-3.92,2697,69.58,-222,-5.73,26368,680.29,4,55,0.57,0,152,0.02
1308,亞聚         ,20130223,-1,-0.03,2696,69.96,23,0.6,26391,684.85,0,0,0.57,0,1,0
1308,亞聚         ,20130225,-55,-1.42,2641,68.01,-107,-2.76,26284,676.81,50,119,0.56,0,55,0.01
1308,亞聚         ,20130226,0,0,2641,67.48,-117,-2.99,26167,668.57,20,100,0.56,0,0,0
1308,亞聚         ,20130227,-220,-5.57,2421,61.25,-409,-10.35,25608,647.88,51,234,0.52,0,220,0.02
1308,亞聚         ,20130301,0,0,2421,61.37,-36,-0.91,25590,648.71,69,112,0.52,0,0,0
1308,亞聚         ,20130304,0,0,2421,61.13,-78,-1.97,25353,640.16,273,315,0.52,0,0,0
1308,亞聚         ,20130305,-100,-2.53,2321,58.61,-168,-4.24,25209,636.53,195,239,0.49,0,100,0.01
1308,亞聚         ,20130306,-15,-0.38,2306,59.03,135,3.46,25319,648.17,195,70,0.49,0,15,0
1308,亞聚         ,20130307,-215,-5.49,2091,53.43,-450,-11.5,24869,635.4,277,512,0.45,0,215,0.02
1308,亞聚         ,20130308,-250,-6.36,1841,46.85,-179,-4.56,24678,628.06,147,86,0.39,0,250,0.03
1308,亞聚         ,20130311,-503,-12.68,1338,33.72,-524,-13.2,24144,608.43,86,117,0.28,0,503,0.05
1308,亞聚         ,20130312,0,0,1338,33.85,-81,-2.05,24067,608.9,42,123,0.28,0,0,0
1308,亞聚         ,20130313,-1,-0.02,1337,33.29,71,1.77,24151,601.36,127,42,0.28,0,1,0
1308,亞聚         ,20130314,-121,-2.99,1216,30.04,-180,-4.45,23971,592.08,51,110,0.26,0,121,0.01
1308,亞聚         ,20130315,-301,-7.28,915,22.14,-405,-9.8,23573,570.47,95,192,0.19,0,301,0.03
1308,亞聚         ,20130318,-1,-0.02,914,21.84,-50,-1.2,23545,562.73,55,82,0.19,0,1,0
1308,亞聚         ,20130319,0,0,914,21.94,-71,-1.7,23475,563.4,61,131,0.19,0,0,0
1308,亞聚         ,20130320,0,0,914,21.66,-394,-9.34,23119,547.92,55,411,0.19,0,0,0
1308,亞聚         ,20130321,0,0,914,21.57,-204,-4.81,22915,540.79,108,312,0.19,0,0,0
1308,亞聚         ,20130322,0,0,914,21.75,10,0.24,22948,546.16,80,47,0.19,0,0,0
1308,亞聚         ,20130325,0,0,914,21.57,5,0.12,22956,541.76,54,46,0.19,0,0,0
1308,亞聚         ,20130326,0,0,914,21.52,12,0.28,22956,540.61,55,43,0.19,0,0,0
1308,亞聚         ,20130327,-6,-0.14,908,21.38,-7,-0.16,22929,539.98,78,79,0.19,0,6,0
1308,亞聚         ,20130328,0,0,908,21.52,-127,-3.01,22803,540.43,9,116,0.19,0,0,0
1308,亞聚         ,20130329,0,0,910,21.66,10,0.24,22799,542.62,23,29,0.19,0,0,0
1308,亞聚         ,20130401,-1,-0.02,909,21.41,-169,-3.98,22615,532.58,39,205,0.19,0,1,0
1308,亞聚         ,20130402,0,0,909,21.27,-47,-1.1,22536,527.34,24,65,0.19,0,0,0
1308,亞聚         ,20130403,0,0,909,21.27,-64,-1.5,22478,525.99,36,94,0.19,0,0,0
1308,亞聚         ,20130408,-150,-3.39,759,17.15,-180,-4.07,22337,504.82,70,61,0.16,0,150,0.02
1308,亞聚         ,20130409,-150,-3.38,609,13.73,-210,-4.74,22118,498.76,30,99,0.13,0,150,0.02
1308,亞聚         ,20130410,0,0,609,13.85,-26,-0.59,22107,502.93,200,211,0.13,0,0,0
1308,亞聚         ,20130411,0,0,609,13.95,-31,-0.71,22096,506,118,129,0.13,0,0,0
1308,亞聚         ,20130412,0,0,609,13.79,-34,-0.77,22076,500.02,64,84,0.13,0,0,0
1308,亞聚         ,20130415,-101,-2.26,508,11.35,-163,-3.64,21942,490.4,47,80,0.11,0,101,0.01
1308,亞聚         ,20130416,-150,-3.34,358,7.97,-230,-5.12,21746,483.85,23,69,0.08,0,150,0.02
1308,亞聚         ,20130417,-155,-3.43,203,4.49,-83,-1.83,21672,478.95,73,2,0.04,0,155,0.02
1308,亞聚         ,20130418,-66,-1.45,137,3.01,-99,-2.17,21574,473.55,13,45,0.03,0,66,0.01
1308,亞聚         ,20130419,-20,-0.43,117,2.56,-20,-0.44,21554,472.03,9,9,0.02,0,20,0
1308,亞聚         ,20130422,-12,-0.26,105,2.27,-9,-0.19,21540,466.34,0,2,0.02,0,12,0
1308,亞聚         ,20130423,-1,-0.02,104,2.35,-109,-2.46,21442,483.52,71,168,0.02,0,1,0
1308,亞聚         ,20130424,0,0,104,2.37,-85,-1.94,21365,487.12,15,92,0.02,0,0,0
1308,亞聚         ,20130425,-10,-0.23,94,2.12,16,0.36,21381,483.21,37,11,0.02,0,10,0
1308,亞聚         ,20130426,-1,-0.02,93,2.11,25,0.57,21406,484.85,64,38,0.02,0,1,0
1308,亞聚         ,20130429,-1,-0.02,92,2.05,-54,-1.2,21360,475.26,9,63,0.02,0,1,0
1308,亞聚         ,20130430,0,0,92,2.05,-42,-0.93,21314,474.24,11,57,0.02,0,0,0
1308,亞聚         ,20130502,0,0,92,2.02,39,0.86,21378,470.32,52,13,0.02,0,0,0
1308,亞聚         ,20130503,-3,-0.07,89,1.99,-54,-1.21,21324,476.59,28,85,0.02,0,3,0
1308,亞聚         ,20130506,-1,-0.02,88,2.08,118,2.79,21442,507.1,127,48,0.02,0,1,0
1308,亞聚         ,20130507,0,0,88,2.06,12,0.28,21474,503.57,69,74,0.02,0,0,0
1308,亞聚         ,20130508,0,0,88,2.08,72,1.7,21556,508.72,77,10,0.02,0,0,0
1308,亞聚         ,20130509,8,0.19,96,2.25,70,1.64,21626,506.05,82,31,0.02,8,0,0
