證券名稱,簡稱,年月日,投信持股率%,投信持股數(千股),投信買進張數,投信買賣超(千股),投信持股數市值(百萬),投信賣出張數,流通在外股數(千股),投信買賣超市值(百萬),合計持股數(千股),投信週轉率%
3691,碩禾         ,20130102,3.92,1729,55,55,449.54,0,44125,14.3,2554,0.06
3691,碩禾         ,20130103,3.97,1752,23,23,465.16,0,44125,6.11,2652,0.03
3691,碩禾         ,20130104,4.43,1955,203,203,555.22,0,44125,57.65,2860,0.23
3691,碩禾         ,20130107,5.47,2414,459,459,687.99,0,44125,130.82,3450,0.52
3691,碩禾         ,20130108,5.72,2526,112,112,722.44,0,44125,32.03,3497,0.13
3691,碩禾         ,20130109,5.96,2628,102,102,760.81,0,44125,29.53,3615,0.12
3691,碩禾         ,20130110,6.07,2678,50,50,790.01,0,44125,14.75,3716,0.06
3691,碩禾         ,20130111,6.36,2805,157,127,827.48,30,44125,37.47,3880,0.21
3691,碩禾         ,20130114,6.36,2805,0,0,838.7,0,44125,0,3839,0
3691,碩禾         ,20130115,6.2,2734,6,-71,787.39,77,44125,-20.45,3781,0.09
3691,碩禾         ,20130116,6.2,2734,0,0,784.66,0,44125,0,3802,0
3691,碩禾         ,20130117,6.22,2744,10,10,743.62,0,44125,2.71,3886,0.01
3691,碩禾         ,20130118,6.01,2654,20,-90,748.43,110,44125,-25.38,3860,0.15
3691,碩禾         ,20130121,5.81,2565,58,-89,719.48,147,44125,-24.96,3780,0.23
3691,碩禾         ,20130122,5.81,2565,0,0,725.9,0,44125,0,3837,0
3691,碩禾         ,20130123,5.93,2617,52,52,748.46,0,44125,14.87,3951,0.06
3691,碩禾         ,20130124,5.93,2617,0,0,769.4,0,44125,0,4089,0
3691,碩禾         ,20130125,5.86,2585,0,-32,761.28,32,44125,-9.42,4328,0.04
3691,碩禾         ,20130128,5.86,2585,0,0,765.16,0,44125,0,4399,0
3691,碩禾         ,20130129,5.62,2479,0,-106,746.18,106,44125,-31.91,4434,0.12
3691,碩禾         ,20130130,5.48,2419,0,-60,720.86,60,44125,-17.88,4429,0.07
3691,碩禾         ,20130131,5.48,2419,0,0,716.02,0,44125,0,4448,0
3691,碩禾         ,20130201,5.02,2216,0,-203,653.72,203,44125,-59.89,4281,0.23
3691,碩禾         ,20130204,5.02,2216,0,0,667.02,0,44125,0,4358,0
3691,碩禾         ,20130205,5.02,2216,0,0,667.02,0,44125,0,4478,0
3691,碩禾         ,20130206,4.98,2198,0,-18,650.61,18,44125,-5.33,4547,0.02
3691,碩禾         ,20130218,4.98,2198,0,0,655,0,44125,0,4621,0
3691,碩禾         ,20130219,5.09,2248,50,50,675.52,0,44125,15.03,4735,0.06
3691,碩禾         ,20130220,5.03,2218,0,-30,667.62,30,44125,-9.03,4770,0.03
3691,碩禾         ,20130221,5.08,2243,25,25,661.69,0,44125,7.38,4778,0.03
3691,碩禾         ,20130222,4.7,2076,0,-167,597.89,167,44125,-48.1,4579,0.19
3691,碩禾         ,20130223,4.52,1996,0,-80,578.84,80,44125,-23.2,4499,0.09
3691,碩禾         ,20130225,4.52,1993,0,-3,589.93,3,44125,-0.89,4429,0
3691,碩禾         ,20130226,4.48,1978,0,-15,583.51,15,44125,-4.43,4509,0.02
3691,碩禾         ,20130227,4.48,1978,0,0,577.58,0,44125,0,4678,0
3691,碩禾         ,20130301,4.48,1978,0,0,586.48,0,44125,0,4748,0
3691,碩禾         ,20130304,4.48,1978,0,0,587.47,0,44125,0,4706,0
3691,碩禾         ,20130305,4.48,1978,0,0,583.51,0,44125,0,4718,0
3691,碩禾         ,20130306,4.48,1978,0,0,600.32,0,44125,0,4899,0
3691,碩禾         ,20130307,4.48,1978,0,0,597.36,0,44125,0,4939,0
3691,碩禾         ,20130308,4.48,1978,0,0,588.46,0,44125,0,4924,0
3691,碩禾         ,20130311,4.14,1827,0,-151,542.62,151,44125,-44.85,4797,0.17
3691,碩禾         ,20130312,4.08,1801,0,-26,518.69,26,44125,-7.49,4640,0.03
3691,碩禾         ,20130313,3.92,1730,0,-71,489.59,71,44125,-20.09,4577,0.08
3691,碩禾         ,20130314,3.42,1509,0,-221,421.01,221,44125,-61.66,4356,0.25
3691,碩禾         ,20130315,3.35,1478,0,-31,416.8,31,44125,-8.74,4348,0.04
3691,碩禾         ,20130318,3.35,1478,0,0,412.36,0,44125,0,4336,0
3691,碩禾         ,20130319,3.24,1428,0,-50,406.98,50,44125,-14.25,4151,0.06
3691,碩禾         ,20130320,3.24,1428,0,0,399.84,0,44125,0,4105,0
3691,碩禾         ,20130321,2.86,1261,0,-167,328.49,167,44125,-43.5,3838,0.19
3691,碩禾         ,20130322,2.82,1246,0,-15,317.11,15,44125,-3.82,3724,0.02
3691,碩禾         ,20130325,2.82,1246,0,0,313.99,0,44125,0,3730,0
3691,碩禾         ,20130326,2.85,1256,10,10,316.51,0,44125,2.52,3686,0.01
3691,碩禾         ,20130327,2.62,1156,0,-100,298.25,100,44125,-25.8,3607,0.11
