證券名稱,簡稱,年月日,投信持股率%,投信持股數(千股),投信買進張數,投信買賣超(千股),投信持股數市值(百萬),投信賣出張數,流通在外股數(千股),投信買賣超市值(百萬),合計持股數(千股),投信週轉率%
8908   ,欣雄         ,20000104,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000104,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000105,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000105,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000106,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000106,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000107,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000107,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000110,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000110,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000111,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000111,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000112,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000112,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000113,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000113,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000114,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000114,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000115,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000115,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000117,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000117,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000118,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000118,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000119,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000119,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000120,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000120,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000121,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000121,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000124,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000124,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000125,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000125,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000126,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000126,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000127,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000127,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000128,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000128,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000129,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000129,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000131,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000131,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000201,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000201,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000209,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000209,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000210,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000210,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000211,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000211,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000214,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000214,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000215,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000215,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000216,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000216,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000217,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000217,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000218,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000218,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000219,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000219,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000221,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000221,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000222,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000222,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000223,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000223,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000224,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000224,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000225,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000225,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000229,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000229,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000301,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000301,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000302,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000302,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000303,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000303,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000304,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000304,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000306,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000306,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000307,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000307,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000308,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000308,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000309,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000309,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000310,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000310,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000313,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000313,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000314,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000314,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000315,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000315,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000316,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000316,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000317,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000317,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000320,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000320,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000321,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000321,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000322,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000322,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000323,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000323,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000324,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000324,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000327,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000327,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000328,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000328,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000329,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000329,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000330,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000330,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000331,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000331,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000401,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000401,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000405,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000405,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000406,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000406,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000407,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000407,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000408,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000408,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000410,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000410,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000411,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000411,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000412,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000412,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000413,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000413,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000414,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000414,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000415,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000415,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000417,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000417,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000418,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000418,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000419,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000419,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000420,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000420,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000421,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000421,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000424,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000424,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000425,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000425,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000426,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000426,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000427,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000427,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
8908   ,欣雄         ,20000428,        -,        -,        -,        0,           -,        -,    56222,     0.00,        -,        -
8917   ,欣泰         ,20000428,        -,        -,        -,        0,           -,        -,    71592,     0.00,        -,        -
