靡ㄩ嘿,虏嘿,るら,щ獺瞯%,щ獺计(),щ獺禦秈眎计,щ獺禦芥禬(),щ獺计カ(κ窾),щ獺芥眎计,瑈硄计(),щ獺禦芥禬カ(κ窾),璸计(),щ獺秅锣瞯%
6244   ,璟瓆         ,20030515,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      157,        -
6244   ,璟瓆         ,20030516,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      157,        -
6244   ,璟瓆         ,20030519,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      157,        -
6244   ,璟瓆         ,20030520,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      175,        -
6244   ,璟瓆         ,20030521,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      208,        -
6244   ,璟瓆         ,20030522,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      237,        -
6244   ,璟瓆         ,20030523,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      216,        -
6244   ,璟瓆         ,20030526,     0.00,        0,        -,        0,        0.00,        -,    26785,     0.00,      284,        -
6244   ,璟瓆         ,20030527,     0.44,      119,        -,      119,        5.15,        -,    26785,     5.15,      447,        -
6244   ,璟瓆         ,20030528,     0.52,      139,        -,       20,        5.98,        -,    26785,     0.86,      484,        -
6244   ,璟瓆         ,20030529,     0.52,      139,        -,        0,        6.06,        -,    26785,     0.00,      513,        -
6244   ,璟瓆         ,20030530,     0.52,      139,        -,        0,        6.12,        -,    26785,     0.00,      296,        -
6244   ,璟瓆         ,20030602,     0.52,      139,        -,        0,        6.28,        -,    26785,     0.00,      305,        -
6244   ,璟瓆         ,20030603,     0.52,      139,        -,        0,        6.31,        -,    26785,     0.00,      346,        -
6244   ,璟瓆         ,20030605,     0.24,       65,        -,      -74,        3.00,        -,    26785,    -3.42,      329,        -
6244   ,璟瓆         ,20030606,     0.24,       65,        -,        0,        3.04,        -,    26785,     0.00,      329,        -
6244   ,璟瓆         ,20030609,     0.24,       65,        -,        0,        3.06,        -,    26785,     0.00,      328,        -
6244   ,璟瓆         ,20030610,     0.24,       65,        -,        0,        3.00,        -,    26785,     0.00,      328,        -
6244   ,璟瓆         ,20030611,     0.24,       65,        -,        0,        3.06,        -,    26785,     0.00,      353,        -
6244   ,璟瓆         ,20030612,     0.24,       65,        -,        0,        3.15,        -,    26785,     0.00,      435,        -
6244   ,璟瓆         ,20030613,     0.43,      115,        -,       50,        5.55,        -,    26785,     2.42,      515,        -
6244   ,璟瓆         ,20030616,     1.71,      458,        -,      343,       23.59,        -,    26785,    17.66,      862,        -
6244   ,璟瓆         ,20030617,     2.29,      614,        -,      156,       33.77,        -,    26785,     8.58,      930,        -
6244   ,璟瓆         ,20030618,     2.66,      713,        -,       99,       41.71,        -,    26785,     5.79,      909,        -
6244   ,璟瓆         ,20030619,     4.64,     1243,        -,      530,       77.69,        -,    26785,    33.13,     1400,        -
6244   ,璟瓆         ,20030620,     5.67,     1518,        -,      275,       94.88,        -,    26785,    17.19,     1675,        -
6244   ,璟瓆         ,20030623,     5.85,     1568,        -,       50,       97.22,        -,    26785,     3.10,     1725,        -
6244   ,璟瓆         ,20030624,     6.19,     1658,        -,       90,      101.97,        -,    26785,     5.54,     1815,        -
6244   ,璟瓆         ,20030625,     6.63,     1775,        -,      117,      116.26,        -,    26785,     7.66,     1932,        -
6244   ,璟瓆         ,20030626,     7.37,     1973,        -,      198,      132.19,        -,    26785,    13.27,     2130,        -
6244   ,璟瓆         ,20030627,     7.45,     1995,        -,       22,      137.66,        -,    26785,     1.52,     2152,        -
6244   ,璟瓆         ,20030630,     7.45,     1995,        -,        0,      136.66,        -,    26785,     0.00,     3046,        -
6244   ,璟瓆         ,20030701,     7.45,     1995,        -,        0,      132.67,        -,    26785,     0.00,     3046,        -
6244   ,璟瓆         ,20030702,     7.46,     1997,        -,        2,      132.80,        -,    26785,     0.13,     2948,        -
6244   ,璟瓆         ,20030703,     7.46,     1997,        -,        0,      130.80,        -,    26785,     0.00,     2906,        -
6244   ,璟瓆         ,20030704,     7.46,     1997,        -,        0,      124.81,        -,    26785,     0.00,     2899,        -
6244   ,璟瓆         ,20030707,     7.41,     1984,        -,      -13,      124.00,        -,    26785,    -0.81,     2882,        -
6244   ,璟瓆         ,20030708,     7.09,     1900,        -,      -84,      117.80,        -,    26785,    -5.21,     2816,        -
6244   ,璟瓆         ,20030709,     7.09,     1900,        -,        0,      125.40,        -,    26785,     0.00,     2818,        -
6244   ,璟瓆         ,20030710,     7.28,     1950,        -,       50,      131.63,        -,    26785,     3.38,     2901,        -
6244   ,璟瓆         ,20030711,     7.28,     1950,        -,        0,      126.75,        -,    26785,     0.00,     2901,        -
6244   ,璟瓆         ,20030714,     7.28,     1950,        -,        0,      133.58,        -,    26785,     0.00,     2903,        -
6244   ,璟瓆         ,20030715,     7.27,     1948,        -,       -2,      132.46,        -,    26785,    -0.14,     2896,        -
6244   ,璟瓆         ,20030716,     7.27,     1948,        -,        0,      133.44,        -,    26785,     0.00,     2894,        -
6244   ,璟瓆         ,20030717,     7.33,     1964,        -,       16,      133.55,        -,    26785,     1.09,     2905,        -
6244   ,璟瓆         ,20030718,     7.33,     1964,        -,        0,      138.46,        -,    26785,     0.00,     2851,        -
6244   ,璟瓆         ,20030721,     7.78,     2084,        -,      120,      156.30,        -,    26785,     9.00,     2901,        -
6244   ,璟瓆         ,20030722,     7.40,     1983,        -,     -101,      157.65,        -,    26785,    -8.03,     2722,        -
6244   ,璟瓆         ,20030723,     7.40,     1983,        -,        0,      155.67,        -,    26785,     0.00,     2722,        -
6244   ,璟瓆         ,20030724,     7.50,     2010,        -,       27,      155.78,        -,    26785,     2.09,     2749,        -
6244   ,璟瓆         ,20030725,     7.63,     2045,        -,       35,      164.62,        -,    26785,     2.82,     2732,        -
6244   ,璟瓆         ,20030728,     7.63,     2045,        -,        0,      175.87,        -,    26785,     0.00,     2702,        -
6244   ,璟瓆         ,20030729,     7.63,     2045,        -,        0,      177.92,        -,    26785,     0.00,     2651,        -
6244   ,璟瓆         ,20030730,     7.63,     2045,        -,        0,      173.83,        -,    26785,     0.00,     2625,        -
6244   ,璟瓆         ,20030731,     7.63,     2045,        -,        0,      173.83,        -,    26785,     0.00,     2202,        -
6244   ,璟瓆         ,20030801,     7.39,     1979,        0,      -66,      178.11,       66,    26785,    -5.94,     2136,     0.12
6244   ,璟瓆         ,20030804,     7.56,     2024,       45,       45,      183.17,        0,    26785,     4.07,     2225,     0.08
6244   ,璟瓆         ,20030805,     8.88,     2379,        0,      -50,      181.99,       50,    26785,    -3.83,     2637,     0.09
6244   ,璟瓆         ,20030806,     8.88,     2379,        0,        0,      181.99,        0,    26785,     0.00,     2653,     0.00
6244   ,璟瓆         ,20030807,     8.88,     2379,        0,        0,      180.80,        0,    26785,     0.00,     2684,     0.00
6244   ,璟瓆         ,20030808,     8.68,     2324,        0,      -55,      184.76,       55,    26785,    -4.37,     2566,     0.10
6244   ,璟瓆         ,20030811,     8.62,     2309,        0,      -15,      183.57,       15,    26785,    -1.19,     2512,     0.03
6244   ,璟瓆         ,20030812,     8.57,     2296,       10,      -13,      181.38,       23,    26785,    -1.03,     2468,     0.06
6244   ,璟瓆         ,20030813,     8.80,     2356,       60,       60,      187.30,        0,    26785,     4.77,     2546,     0.11
6244   ,璟瓆         ,20030814,     8.80,     2356,        0,        0,      190.84,        0,    26785,     0.00,     2594,     0.00
6244   ,璟瓆         ,20030815,     8.68,     2326,        0,      -30,      189.57,       30,    26785,    -2.45,     2541,     0.06
6244   ,璟瓆         ,20030818,     8.49,     2274,       55,      -52,      191.02,      107,    26785,    -4.37,     2565,     0.30
6244   ,璟瓆         ,20030819,     8.53,     2284,       10,       10,      187.29,        0,    26785,     0.82,     2500,     0.02
6244   ,璟瓆         ,20030820,     8.33,     2232,        0,      -52,      177.44,       52,    26785,    -4.13,     2389,     0.10
6244   ,璟瓆         ,20030821,     8.34,     2234,        2,        2,      177.60,        0,    26785,     0.16,     2391,     0.00
