ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,解除隔離數,解封指數
133738,OWID_WRL,全球,全球,2020/1/22,557,0,0,17,0,0,0.071,0.002,0,0,0,0,0,0,0,0,0,0,99999
133739,OWID_WRL,全球,全球,2020/1/23,655,98,0,18,1,0,0.083,0.002,3.1,0,0,0,0,0,0,0,0,0,99999
133740,OWID_WRL,全球,全球,2020/1/24,941,286,0,26,8,0,0.119,0.003,3.28,0,0,0,0,0,0,0,0,0,99999
133741,OWID_WRL,全球,全球,2020/1/25,1434,493,0,42,16,0,0.182,0.005,3.44,0,0,0,0,0,0,0,0,0,99999
133742,OWID_WRL,全球,全球,2020/1/26,2118,684,0,56,14,0,0.269,0.007,3.5,0,0,0,0,0,0,0,0,0,99999
133743,OWID_WRL,全球,全球,2020/1/27,2927,809,0,82,26,0,0.372,0.01,3.55,0,0,0,0,0,0,0,0,0,99999
133744,OWID_WRL,全球,全球,2020/1/28,5578,2651,717.286,131,49,16.286,0.708,0.017,3.53,0,0,0,0,0,0,0,0,0,99999
133745,OWID_WRL,全球,全球,2020/1/29,6167,589,801.429,133,2,16.571,0.783,0.017,3.22,0,0,0,0,0,0,0,0,0,99999
133746,OWID_WRL,全球,全球,2020/1/30,8235,2068,1082.857,171,38,21.857,1.046,0.022,3.01,0,0,0,0,0,0,0,0,0,99999
133747,OWID_WRL,全球,全球,2020/1/31,9927,1692,1283.714,213,42,26.714,1.261,0.027,2.81,0,0,0,0,0,0,0,0,0,99999
133748,OWID_WRL,全球,全球,2020/2/1,12038,2111,1514.857,259,46,31,1.529,0.033,2.67,0,0,0,0,0,0,0,0,0,99999
133749,OWID_WRL,全球,全球,2020/2/2,16787,4749,2095.571,362,103,43.714,2.132,0.046,2.57,0,0,0,0,0,0,0,0,0,99999
133750,OWID_WRL,全球,全球,2020/2/3,19887,3100,2422.857,426,64,49.143,2.525,0.054,2.35,0,0,0,0,0,0,0,0,0,99999
133751,OWID_WRL,全球,全球,2020/2/4,23898,4011,2617.143,492,66,51.571,3.035,0.062,2.13,0,0,0,0,0,0,0,0,0,99999
133752,OWID_WRL,全球,全球,2020/2/5,27643,3745,3068,564,72,61.571,3.51,0.072,1.99,0,0,0,0,0,0,0,0,0,99999
133753,OWID_WRL,全球,全球,2020/2/6,30805,3162,3224.286,634,70,66.143,3.912,0.081,1.78,0,0,0,0,0,0,0,0,0,99999
133754,OWID_WRL,全球,全球,2020/2/7,34399,3594,3496,719,85,72.286,4.368,0.091,1.66,0,0,0,0,0,0,0,0,0,99999
133755,OWID_WRL,全球,全球,2020/2/8,37130,2731,3584.571,806,87,78.143,4.715,0.102,1.55,0,0,0,0,0,0,0,0,0,99999
133756,OWID_WRL,全球,全球,2020/2/9,40161,3031,3339.143,906,100,77.714,5.1,0.115,1.47,0,0,0,0,0,0,0,0,0,99999
133757,OWID_WRL,全球,全球,2020/2/10,42769,2608,3268.857,1013,107,83.857,5.431,0.129,1.45,0,0,0,0,0,0,0,0,0,99999
133758,OWID_WRL,全球,全球,2020/2/11,44811,2042,2987.571,1113,100,88.714,5.69,0.141,1.44,0,0,0,0,0,0,0,0,0,99999
133759,OWID_WRL,全球,全球,2020/2/12,45229,418,2512.286,1118,5,79.143,5.743,0.142,1.55,0,0,0,0,0,0,0,0,0,99999
133760,OWID_WRL,全球,全球,2020/2/13,60381,15152,4225.143,1371,253,105.286,7.667,0.174,1.7,0,0,0,0,0,0,0,0,0,99999
133761,OWID_WRL,全球,全球,2020/2/14,66909,6528,4644.286,1523,152,114.857,8.496,0.193,1.47,0,0,0,0,0,0,0,0,0,99999
133762,OWID_WRL,全球,全球,2020/2/15,69052,2143,4560.286,1666,143,122.857,8.769,0.212,1.21,0,0,0,0,0,0,0,0,0,99999
133763,OWID_WRL,全球,全球,2020/2/16,71235,2183,4439.143,1770,104,123.429,9.046,0.225,1.02,0,0,0,0,0,0,0,0,0,99999
133764,OWID_WRL,全球,全球,2020/2/17,73270,2035,4357.286,1868,98,122.143,9.304,0.237,0.87,0,0,0,0,0,0,0,0,0,99999
133765,OWID_WRL,全球,全球,2020/2/18,75152,1882,4334.429,2008,140,127.857,9.543,0.255,0.75,0,0,0,0,0,0,0,0,0,99999
133766,OWID_WRL,全球,全球,2020/2/19,75652,500,4346.143,2123,115,143.571,9.607,0.27,0.67,0,0,0,0,0,0,0,0,0,99999
133767,OWID_WRL,全球,全球,2020/2/20,76212,560,2261.571,2248,125,125.286,9.678,0.285,0.58,0,0,0,0,0,0,0,0,0,99999
133768,OWID_WRL,全球,全球,2020/2/21,76841,629,1418.857,2252,4,104.143,9.758,0.286,0.57,0,0,0,0,0,0,0,0,0,99999
133769,OWID_WRL,全球,全球,2020/2/22,78602,1761,1364.286,2459,207,113.286,9.981,0.312,0.59,0,0,0,0,0,0,0,0,0,99999
133770,OWID_WRL,全球,全球,2020/2/23,78982,380,1106.714,2470,11,100,10.03,0.314,0.59,0,0,0,0,0,0,0,0,0,99999
133771,OWID_WRL,全球,全球,2020/2/24,79550,568,897.143,2630,160,108.857,10.102,0.334,0.63,0,0,0,0,0,0,0,0,0,99999
133772,OWID_WRL,全球,全球,2020/2/25,80404,854,750.286,2710,80,100.286,10.21,0.344,0.69,0,0,0,0,0,0,0,0,0,99999
133773,OWID_WRL,全球,全球,2020/2/26,81381,977,818.429,2771,61,92.571,10.334,0.352,0.79,0,0,0,0,0,0,0,0,0,99999
133774,OWID_WRL,全球,全球,2020/2/27,82740,1359,932.571,2814,43,80.857,10.507,0.357,0.87,0,0,0,0,0,0,0,0,0,99999
133775,OWID_WRL,全球,全球,2020/2/28,84128,1388,1041,2873,59,88.714,10.683,0.365,0.97,0,0,0,0,0,0,0,0,0,99999
133776,OWID_WRL,全球,全球,2020/2/29,86022,1894,1060,2943,70,69.143,10.923,0.374,1.1,0,0,0,0,0,0,0,0,0,99999
